Order_ID,Warehouse_Origin,Destination,Product_Category,Order_Value,Distance_km,Shipping_Mode,Customer_Type,Order_Day,Order_Month,Weather_Condition,Traffic_Level,Number_of_Items,Previous_Delays,Processing_Time_hrs,Shipping_Cost,Delivery_Delayed
ORD-100554,Hyderabad,Bengaluru,Home & Kitchen,4914.0,622.5,Standard,New,Tuesday,April,Rain,High,3,0,22.7,129.0,0
ORD-101143,Kolkata,Mumbai,Furniture,64785.0,1967.4,Economy,Regular,Friday,February,Clear,Medium,1,1,28.9,247.0,1
ORD-101164,Mumbai,Mumbai,Clothing,2798.0,13.7,Standard,Regular,Sunday,March,Clear,High,2,1,12.0,83.0,0
ORD-104653,Mumbai,Mumbai,Sports,5510.0,38.1,Economy,Regular,Thursday,November,Clear,High,1,0,9.6,47.0,0
ORD-101162,Chennai,Hyderabad,Furniture,10774.0,688.3,Standard,Premium,Monday,March,Clear,High,1,1,42.0,97.0,0
ORD-100809,Bengaluru,Hyderabad,Home & Kitchen,10475.0,631.1,Priority,Premium,Saturday,April,Cloudy,High,3,0,,279.0,0
ORD-100168,Kolkata,Hyderabad,Electronics,26334.0,1439.9,Standard,New,Monday,September,Rain,Medium,3,1,14.9,229.0,0
ORD-105629,Mumbai,Coimbatore,Books,904.0,1313.7,Economy,Regular,Thursday,December,Clear,Medium,3,0,21.2,128.0,0
ORD-102955,Bengaluru,Hyderabad,Electronics,9845.0,657.4,Economy,Regular,Monday,July,Cloudy,Low,1,1,12.9,106.0,0
ORD-100168,Kolkata,Hyderabad,Electronics,26334.0,1439.9,Standard,New,Monday,September,Rain,Medium,3,1,14.9,229.0,0
ORD-104752,Bengaluru,Chennai,Sports,1421.0,372.9,Standard,Regular,Monday,June,Rain,High,2,0,6.8,86.0,0
ORD-103708,Chennai,Pune,Clothing,8445.0,1109.1,Priority,Premium,Wednesday,August,Clear,Low,2,1,7.0,311.0,0
ORD-100222,Bengaluru,Chennai,Furniture,4876.0,371.8,Standard,Regular,Wednesday,June,Cloudy,High,1,1,17.1,85.0,0
ORD-101045,Mumbai,Visakhapatnam,Home & Kitchen,3793.0,1418.9,Priority,Premium,Friday,September,Rain,High,2,3,18.1,516.0,0
ORD-100264,Mumbai,Kolkata,Furniture,19408.0,2013.5,Priority,Regular,Wednesday,March,Clear,Low,1,2,38.2,536.0,0
ORD-102655,Bengaluru,Delhi,Electronics,16614.0,2213.3,Standard,Regular,Monday,August,Cloudy,Medium,2,1,10.1,286.0,1
ORD-101355,Kolkata,Hyderabad,Clothing,2187.0,1442.4,Express,Premium,Sunday,May,Clear,Medium,3,0,44.8,304.0,0
ORD-100255,Delhi,Patna,Home & Kitchen,6555.0,1114.2,Standard,New,Wednesday,November,Cloudy,Medium,4,1,24.9,197.0,1
ORD-103039,Mumbai,Delhi,Electronics,12028.0,1447.5,Express,Regular,Saturday,November,Rain,Medium,2,0,41.9,333.0,0
ORD-104862,Hyderabad,Mumbai,Furniture,9651.0,747.5,Express,New,Friday,December,Fog,Low,2,0,21.8,266.0,0
ORD-101746,Chennai,Jaipur,Beauty,1188.0,2004.5,Standard,Regular,Sunday,August,Clear,Low,1,0,3.6,242.0,0
ORD-103608,Delhi,Indore,Books,737.0,891.0,Standard,New,Friday,April,Clear,Medium,2,0,7.3,153.0,0
ORD-100882,Bengaluru,Kolkata,Home & Kitchen,4422.0,1928.4,Standard,Regular,Tuesday,December,Fog,Medium,2,1,23.4,261.0,0
ORD-102760,Bengaluru,Chandigarh,Electronics,10027.0,2416.7,Standard,Regular,Saturday,November,Clear,Low,2,0,32.4,293.0,0
ORD-102930,Chennai,Delhi,Clothing,2018.0,2229.7,Standard,Regular,Friday,April,Storm,Medium,3,2,14.9,264.0,1
ORD-102971,Bengaluru,Nagpur,Furniture,13005.0,1058.0,Express,Premium,Friday,November,Fog,Medium,1,1,35.3,234.0,0
ORD-100080,Kolkata,Nagpur,Clothing,1713.0,1319.3,Economy,Regular,Sunday,October,Storm,Medium,1,2,16.0,139.0,1
ORD-100995,Hyderabad,Mumbai,Sports,6260.0,758.4,Standard,Regular,Friday,April,Clear,High,2,3,3.7,139.0,0
ORD-104484,Delhi,Kolkata,Sports,6808.0,1558.4,Economy,Regular,Wednesday,March,Clear,High,4,1,14.8,201.0,0
ORD-102928,Bengaluru,Visakhapatnam,Electronics,7987.0,997.3,Express,Regular,Wednesday,April,Cloudy,Low,1,2,12.0,254.0,0
ORD-100229,Chennai,Hyderabad,Groceries,2699.0,654.7,Economy,New,Monday,January,Clear,,6,0,1.3,122.0,0
ORD-102708,Delhi,Ahmedabad,Clothing,9359.0,901.9,Economy,Regular,Saturday,March,,Low,3,1,19.4,118.0,1
ORD-101352,Kolkata,Bhopal,Home & Kitchen,3784.0,1361.6,Economy,Regular,Monday,December,Rain,Medium,3,0,38.9,143.0,0
ORD-103782,Kolkata,Indore,Furniture,15421.0,1675.7,Express,New,Sunday,November,Clear,Low,1,0,48.6,322.0,0
ORD-105595,Bengaluru,Hyderabad,Electronics,10884.0,590.3,Economy,Regular,Thursday,April,Clear,Low,1,0,16.6,84.0,0
ORD-100024,Hyderabad,Patna,Electronics,9583.0,1404.9,Priority,Premium,Friday,September,Rain,Medium,1,0,16.3,445.0,0
ORD-105374,Bengaluru,Visakhapatnam,Furniture,24204.0,952.9,Standard,New,Wednesday,April,Storm,Medium,1,1,15.5,176.0,0
ORD-104142,Bengaluru,Mumbai,Sports,3414.0,1079.0,Express,New,Monday,February,Clear,Medium,1,0,5.8,233.0,0
ORD-104578,Mumbai,Hyderabad,Beauty,1077.0,790.9,Standard,New,Tuesday,September,Cloudy,Low,1,0,24.6,125.0,0
ORD-105633,Delhi,Chennai,Beauty,743.0,2218.9,Standard,Premium,Monday,September,Rain,Medium,1,0,7.5,252.0,1
ORD-104035,Mumbai,Visakhapatnam,Electronics,9962.0,1363.2,Economy,Regular,Friday,July,Clear,Low,2,1,25.7,182.0,1
ORD-104791,Bengaluru,Pune,Sports,5362.0,880.4,Economy,New,Thursday,July,Rain,Low,1,0,2.4,131.0,0
ORD-102695,Kolkata,Mumbai,Electronics,15298.0,2029.7,Standard,Regular,Friday,July,Rain,Medium,2,1,24.7,269.0,1
ORD-105866,Delhi,Jaipur,Sports,3341.0,284.6,Economy,Regular,Sunday,October,Clear,Medium,2,1,14.5,74.0,0
ORD-104075,Mumbai,Chandigarh,Groceries,821.0,1715.3,Priority,Premium,Wednesday,March,Clear,Low,2,2,10.2,452.0,0
ORD-102408,Delhi,Lucknow,Clothing,1298.0,502.9,Standard,Regular,Sunday,July,Rain,High,5,2,16.2,154.0,1
ORD-102345,Chennai,Mumbai,Home & Kitchen,8272.0,1436.7,Economy,Regular,Thursday,August,Storm,Medium,5,0,14.7,174.0,0
ORD-101129,Chennai,Nagpur,Clothing,3533.0,1133.8,Economy,New,Saturday,December,Clear,Low,1,1,19.6,128.0,1
ORD-101120,Hyderabad,Kolkata,Clothing,2298.0,1593.4,Standard,Regular,Monday,October,Clear,High,2,1,26.8,225.0,1
ORD-105514,Delhi,Bengaluru,Clothing,1473.0,2189.6,Standard,Premium,Monday,June,Clear,Medium,1,0,20.2,202.0,1
ORD-105055,Kolkata,Coimbatore,Beauty,2509.0,2334.4,Standard,Regular,Thursday,July,Rain,Low,2,2,18.0,276.0,1
ORD-104601,Chennai,Lucknow,Home & Kitchen,3558.0,2014.2,Standard,New,Tuesday,January,Fog,Medium,2,0,11.0,242.0,0
ORD-102178,Kolkata,Jaipur,Books,272.0,1745.4,Standard,Regular,Sunday,May,Cloudy,Medium,2,0,11.2,221.0,0
ORD-105184,Chennai,Nagpur,Furniture,20629.0,1155.7,Priority,Premium,Monday,May,Cloudy,Low,1,2,53.8,388.0,0
ORD-101216,Bengaluru,Bengaluru,Clothing,1797.0,14.9,Priority,Regular,Tuesday,October,Cloudy,,2,0,28.1,151.0,0
ORD-104025,Kolkata,Chennai,Furniture,20481.0,1758.8,Economy,New,Monday,December,Cloudy,Medium,1,0,25.5,207.0,1
ORD-103962,Mumbai,Hyderabad,Home & Kitchen,3378.0,771.4,Standard,New,Sunday,August,Rain,Low,1,0,17.3,104.0,0
ORD-105143,Delhi,Lucknow,Furniture,17472.0,535.3,Express,Premium,Friday,May,Clear,Medium,1,3,36.9,178.0,0
ORD-100038,Bengaluru,Chennai,Electronics,8277.0,363.6,Standard,Premium,Monday,December,Cloudy,High,3,1,48.8,97.0,1
ORD-103140,Delhi,Bhopal,Electronics,9379.0,741.5,Priority,Regular,Sunday,November,Rain,Low,2,0,17.7,322.0,0
ORD-103906,Chennai,Lucknow,Furniture,13135.0,1897.4,Standard,Regular,Saturday,December,Fog,Low,1,1,39.7,256.0,1
ORD-103652,Mumbai,Mumbai,Home & Kitchen,6341.0,36.0,Standard,Regular,Monday,October,Cloudy,High,2,2,11.2,68.0,0
ORD-103182,Delhi,Bengaluru,Sports,2285.0,2226.4,Economy,New,Monday,January,Rain,Medium,1,1,22.5,187.0,1
ORD-102367,Delhi,Bengaluru,Electronics,14792.0,2145.2,Express,Premium,Saturday,July,Clear,Low,1,2,27.9,402.0,1
ORD-100470,Bengaluru,Nagpur,Clothing,2289.0,1020.3,Standard,Premium,Wednesday,October,Cloudy,Medium,6,0,19.4,167.0,0
ORD-103537,Delhi,Nagpur,Beauty,1516.0,1028.4,Economy,Regular,Wednesday,February,Rain,Medium,3,0,12.4,137.0,0
ORD-101695,Chennai,Chennai,Clothing,3008.0,15.0,Express,New,Wednesday,September,Rain,Medium,3,1,8.7,109.0,0
ORD-101534,Chennai,Bengaluru,Home & Kitchen,3391.0,346.8,Express,Regular,Monday,November,Clear,Low,3,1,20.3,163.0,0
ORD-103110,Hyderabad,Delhi,Books,267.0,1590.8,Express,New,Sunday,January,Clear,Low,3,0,25.1,273.0,0
ORD-101707,Mumbai,Chandigarh,Home & Kitchen,11548.0,1639.9,Standard,Regular,Saturday,November,Cloudy,Low,5,1,25.1,253.0,1
ORD-102620,Hyderabad,Lucknow,Furniture,13268.0,1398.3,Express,Regular,Sunday,April,Fog,Low,1,1,29.6,266.0,1
ORD-105213,Hyderabad,Coimbatore,Books,852.0,830.8,Standard,Regular,Friday,November,Clear,Medium,3,0,5.0,143.0,0
ORD-102273,Chennai,Visakhapatnam,Home & Kitchen,4563.0,690.4,Priority,Regular,Sunday,January,Fog,Low,2,0,26.1,304.0,0
ORD-101515,Hyderabad,Lucknow,Sports,3174.0,1329.1,Priority,New,Monday,November,Clear,Medium,3,3,6.1,396.0,0
ORD-102104,Hyderabad,Lucknow,Groceries,1359.0,1463.2,Express,Premium,Tuesday,June,Cloudy,High,7,0,25.4,411.0,0
ORD-105072,Delhi,Bengaluru,Beauty,3142.0,2192.6,Economy,New,Saturday,November,Cloudy,High,2,1,27.2,249.0,1
ORD-100731,Delhi,Mumbai,Clothing,6177.0,1493.7,Standard,Regular,Tuesday,December,Storm,Medium,4,2,15.9,222.0,1
ORD-102722,Kolkata,Hyderabad,Clothing,6553.0,1533.6,Express,Premium,Sunday,March,Cloudy,High,2,2,13.8,343.0,1
ORD-102474,Bengaluru,Ahmedabad,Beauty,1299.0,1492.7,Express,Premium,Saturday,October,Fog,Medium,2,0,5.7,230.0,1
ORD-103668,Mumbai,Visakhapatnam,Electronics,24050.0,1350.6,Standard,Regular,Friday,December,Cloudy,Low,3,0,16.4,254.0,0
ORD-101903,Kolkata,Pune,Home & Kitchen,1431.0,1964.0,Express,Regular,Friday,November,,Medium,2,0,16.6,426.0,0
ORD-105231,Kolkata,Bengaluru,Home & Kitchen,2732.0,1920.2,Express,Regular,Sunday,November,Clear,Low,2,0,18.3,450.0,0
ORD-102196,Kolkata,Indore,Furniture,5402.0,1667.0,Economy,New,Saturday,September,Rain,,1,1,27.5,189.0,1
ORD-102999,Hyderabad,Visakhapatnam,Books,629.0,617.7,Standard,Regular,Saturday,December,Rain,High,2,0,15.5,126.0,0
ORD-101439,Hyderabad,Chennai,Groceries,2074.0,678.2,Economy,Regular,Saturday,August,Cloudy,Low,9,0,9.3,163.0,0
ORD-104839,Mumbai,Bengaluru,Groceries,4767.0,1082.4,Standard,New,Tuesday,December,Clear,Medium,10,0,14.6,289.0,0
ORD-105993,Hyderabad,Nagpur,Beauty,969.0,517.0,Standard,Regular,Sunday,May,Clear,Medium,2,0,20.0,113.0,0
ORD-103077,Delhi,Mumbai,Books,1329.0,1525.5,Economy,Regular,Tuesday,April,Rain,Medium,5,1,12.5,186.0,0
ORD-103959,Mumbai,Hyderabad,Clothing,3162.0,745.7,Priority,Regular,Wednesday,April,Clear,Medium,1,2,4.7,296.0,0
ORD-104123,Hyderabad,Bengaluru,Books,764.0,661.5,Express,Premium,Tuesday,October,Cloudy,Medium,5,1,4.3,248.0,0
ORD-101109,Hyderabad,Delhi,Furniture,23640.0,1498.3,Priority,Premium,Thursday,July,Cloudy,Low,2,0,26.8,445.0,0
ORD-103435,Mumbai,Mumbai,Beauty,2930.0,16.1,Standard,New,Sunday,September,Storm,Medium,3,0,10.0,76.0,1
ORD-104305,Mumbai,Nagpur,Clothing,1545.0,856.9,Express,Premium,Thursday,December,Fog,Medium,3,0,28.4,205.0,0
ORD-103741,Mumbai,Indore,Beauty,1332.0,649.2,Express,Regular,Sunday,December,,Medium,1,0,6.8,,0
ORD-105971,Delhi,Mumbai,Groceries,,1387.4,Standard,New,Saturday,May,Cloudy,Low,2,0,10.7,189.0,0
ORD-100085,Mumbai,Bengaluru,Sports,3071.0,1110.6,Express,Premium,Sunday,October,Cloudy,Medium,1,0,18.4,208.0,0
ORD-105232,Hyderabad,Visakhapatnam,Books,436.0,636.5,Express,Regular,Saturday,October,Clear,Medium,1,1,5.6,155.0,0
ORD-104872,Delhi,Bhopal,Beauty,1166.0,726.1,Standard,New,Friday,July,Rain,Low,2,0,16.9,135.0,0
ORD-100587,Mumbai,Ahmedabad,Sports,2854.0,557.6,Standard,New,Tuesday,January,Fog,High,1,1,13.2,98.0,0
ORD-103347,Kolkata,Delhi,Electronics,13452.0,1601.9,Standard,New,Thursday,July,Clear,Low,2,1,22.8,202.0,1
ORD-101596,Chennai,Patna,Electronics,11568.0,1927.3,Standard,New,Saturday,November,Clear,Medium,1,0,10.5,239.0,0
ORD-103312,Hyderabad,Jaipur,Home & Kitchen,5561.0,1418.7,Economy,Regular,Friday,April,Clear,Low,4,1,33.6,172.0,1
ORD-104592,Bengaluru,Mumbai,Books,479.0,1107.3,Priority,Regular,Thursday,January,Clear,Medium,2,2,24.3,375.0,0
ORD-105659,Mumbai,Bhopal,Groceries,258.0,794.8,Standard,New,Friday,July,Cloudy,Medium,3,0,15.3,128.0,0
ORD-103413,Bengaluru,Chennai,Clothing,879.0,371.4,Economy,New,Sunday,November,Clear,Medium,1,0,11.4,63.0,0
ORD-105159,Bengaluru,Chandigarh,Clothing,1945.0,2437.2,Standard,New,Wednesday,July,Rain,Medium,2,0,13.1,300.0,1
ORD-102411,Chennai,Kolkata,Electronics,17273.0,1722.6,Economy,New,Saturday,May,Clear,Medium,3,1,25.7,166.0,0
ORD-103468,Delhi,Kochi,Beauty,1204.0,2533.3,Economy,New,Tuesday,June,,Medium,1,3,19.9,179.0,1
ORD-102670,Bengaluru,Patna,Electronics,7237.0,1993.7,Economy,Regular,Saturday,February,Clear,Low,1,2,22.6,195.0,0
ORD-104816,Mumbai,Bengaluru,Furniture,39977.0,1060.1,Priority,Premium,Wednesday,June,Cloudy,Low,2,1,40.0,499.0,0
ORD-105804,Bengaluru,Lucknow,Beauty,664.0,1885.9,Express,Regular,Sunday,July,,Low,3,0,18.2,382.0,0
ORD-100440,Chennai,Jaipur,Electronics,15269.0,1914.2,Priority,Premium,Monday,June,,Medium,1,2,19.7,380.0,0
ORD-105438,Mumbai,Chennai,Sports,3712.0,1239.2,Standard,Regular,Friday,September,Rain,Medium,1,5,10.7,162.0,0
ORD-105653,Bengaluru,Jaipur,Home & Kitchen,4829.0,2116.6,Standard,New,Friday,April,Storm,Low,2,1,16.2,273.0,1
ORD-102768,Chennai,Visakhapatnam,Electronics,10901.0,755.8,Standard,Regular,Friday,May,Clear,Low,2,0,10.5,124.0,1
ORD-103340,Bengaluru,Coimbatore,Home & Kitchen,1888.0,280.6,Priority,Premium,Friday,November,Clear,Low,1,1,15.7,144.0,0
ORD-102413,Delhi,Kolkata,Clothing,4302.0,1642.1,Priority,Regular,Saturday,November,Cloudy,Medium,6,1,8.3,596.0,0
ORD-104943,Bengaluru,Hyderabad,Clothing,930.0,621.5,Standard,New,Saturday,January,Fog,High,4,3,25.4,120.0,0
ORD-103261,Mumbai,Visakhapatnam,Electronics,14383.0,1340.6,Standard,Regular,Wednesday,November,Cloudy,Low,1,1,14.4,184.0,0
ORD-100094,Delhi,Kochi,Beauty,1584.0,2599.5,Standard,New,Monday,November,Fog,Medium,1,2,28.4,319.0,1
ORD-102214,Bengaluru,Kochi,Groceries,1074.0,485.2,Economy,Regular,Tuesday,February,Clear,Medium,5,1,15.8,120.0,0
ORD-101893,Bengaluru,Bengaluru,Electronics,30613.0,40.8,Standard,Regular,Tuesday,July,Rain,Medium,5,1,19.5,171.0,0
ORD-103091,Kolkata,Kolkata,Electronics,7234.0,19.9,Express,New,Monday,April,Rain,Medium,2,0,17.5,132.0,0
ORD-101455,Delhi,Pune,Electronics,16410.0,1550.5,Express,Regular,Monday,September,Rain,Low,2,2,14.5,367.0,0
ORD-105086,Delhi,Visakhapatnam,Clothing,1888.0,1702.3,Priority,Premium,Monday,June,Rain,Medium,6,1,30.9,615.0,0
ORD-101845,Mumbai,Bengaluru,Electronics,21275.0,1141.5,Express,Regular,Thursday,July,Clear,Medium,4,3,18.3,320.0,0
ORD-105988,Delhi,Chandigarh,Electronics,7378.0,293.0,Priority,Premium,Friday,September,Cloudy,Medium,1,0,25.2,189.0,0
ORD-102883,Bengaluru,Kolkata,Home & Kitchen,3252.0,2030.6,Economy,New,Tuesday,November,Cloudy,Medium,1,0,12.0,208.0,1
ORD-101964,Mumbai,Lucknow,Beauty,3887.0,1414.3,Standard,New,Wednesday,March,Clear,Medium,3,0,5.2,190.0,0
ORD-104440,Delhi,Hyderabad,Electronics,13453.0,1549.8,Standard,Regular,Friday,June,Rain,Low,1,0,25.8,225.0,0
ORD-102418,Bengaluru,Nagpur,Electronics,21947.0,1089.5,Express,Regular,Friday,December,Fog,Medium,2,0,21.6,295.0,1
ORD-100811,Mumbai,Chandigarh,Electronics,7689.0,1818.8,Standard,New,Saturday,January,Cloudy,High,2,0,15.6,242.0,0
ORD-103786,Hyderabad,Kolkata,Furniture,15113.0,1489.7,Priority,Regular,Tuesday,December,Rain,High,1,4,19.5,436.0,1
ORD-103905,Delhi,Kochi,Electronics,18487.0,2666.9,Express,Premium,Saturday,October,Storm,Low,3,0,30.6,540.0,1
ORD-104754,Bengaluru,Chandigarh,Books,325.0,2438.4,Economy,New,Sunday,August,Rain,Medium,1,2,6.5,191.0,0
ORD-102914,Chennai,Delhi,Sports,1917.0,2165.3,Standard,Regular,Monday,November,Clear,Medium,3,2,37.6,285.0,1
ORD-100707,Kolkata,Chandigarh,Home & Kitchen,1619.0,1831.8,Standard,Regular,Tuesday,July,Rain,Medium,1,2,22.1,219.0,1
ORD-104795,Delhi,Bhopal,Electronics,11689.0,727.7,Standard,New,Thursday,February,Cloudy,Low,3,1,22.7,172.0,1
ORD-100927,Mumbai,Chennai,Groceries,1636.0,1299.2,Economy,Regular,Thursday,September,Rain,Medium,9,1,7.0,176.0,1
ORD-101003,Mumbai,Kochi,Electronics,17545.0,1385.8,Standard,Regular,Saturday,February,Fog,Low,3,1,15.9,219.0,0
ORD-103382,Kolkata,Hyderabad,Electronics,12410.0,1398.9,Express,Regular,Tuesday,January,Clear,Low,1,1,17.8,367.0,0
ORD-105038,Mumbai,Hyderabad,Home & Kitchen,7504.0,794.8,Economy,Regular,Friday,April,Clear,High,2,2,10.1,101.0,1
ORD-104508,Mumbai,Bengaluru,Clothing,938.0,1049.9,Standard,New,Sunday,August,Cloudy,Low,4,1,15.5,177.0,0
ORD-105670,Kolkata,Kolkata,Clothing,1108.0,32.6,Express,Premium,Wednesday,September,Cloudy,Medium,2,0,22.0,85.0,0
ORD-100473,Mumbai,Visakhapatnam,Groceries,2264.0,1331.3,Economy,New,Saturday,August,Rain,Low,9,0,6.0,199.0,1
ORD-103807,Chennai,Kolkata,Sports,1653.0,1765.4,Express,Regular,Monday,January,Clear,High,2,0,26.9,267.0,0
ORD-100158,Chennai,Bengaluru,Clothing,3235.0,374.6,Standard,Regular,Sunday,September,Rain,High,4,0,9.6,111.0,0
ORD-104086,Hyderabad,Mumbai,Home & Kitchen,4297.0,792.2,Economy,New,Sunday,April,Cloudy,Medium,2,0,3.0,114.0,0
ORD-100682,Mumbai,Patna,Sports,4402.0,1730.2,Economy,Regular,Tuesday,November,Clear,Low,3,1,6.1,206.0,1
ORD-101836,Mumbai,Delhi,Home & Kitchen,7610.0,1311.0,Economy,Premium,Sunday,November,Clear,Medium,1,1,20.3,130.0,1
ORD-100477,Delhi,Mumbai,Groceries,2835.0,1354.2,Express,Regular,Tuesday,February,Fog,Medium,7,1,4.0,325.0,0
ORD-102816,Bengaluru,Coimbatore,Electronics,14641.0,272.6,Standard,Regular,Thursday,January,Clear,Low,2,3,18.0,102.0,0
ORD-105743,Kolkata,Visakhapatnam,Groceries,3215.0,969.2,Standard,Regular,Wednesday,December,Fog,Medium,6,1,12.7,193.0,0
ORD-101363,Bengaluru,Patna,Home & Kitchen,1034.0,2048.7,Standard,New,Sunday,February,Clear,Low,2,1,15.3,204.0,0
ORD-102751,Delhi,Lucknow,Home & Kitchen,2350.0,483.2,Express,Regular,Saturday,November,Fog,Low,1,0,31.2,140.0,0
ORD-102348,Kolkata,Bhopal,Sports,1494.0,1423.7,Priority,Premium,Thursday,August,Clear,High,4,0,13.5,412.0,0
ORD-105034,Bengaluru,Indore,Electronics,23658.0,1287.9,Standard,Regular,Saturday,October,Clear,High,4,1,13.6,219.0,0
ORD-101195,Kolkata,Mumbai,Clothing,2264.0,1968.0,Standard,Premium,Saturday,March,Clear,High,2,0,20.3,221.0,0
ORD-104706,Delhi,Jaipur,Home & Kitchen,4143.0,305.4,Express,Regular,Thursday,July,Cloudy,Low,3,0,9.1,158.0,0
ORD-102681,Kolkata,Bhopal,Sports,2304.0,1362.0,Economy,New,Tuesday,December,Cloudy,Low,1,0,25.8,136.0,0
ORD-101336,Kolkata,Patna,Furniture,9150.0,582.4,Economy,New,Thursday,January,Cloudy,Low,1,0,39.1,89.0,0
